chunk_id,file,relevance,coverage_drop,retention_loss,repo,query_id
WeatherRoutingTool/algorithms/data_utils.py::L1,WeatherRoutingTool/algorithms/data_utils.py,14.582,0.0,0.0,52north-wrt,1
scripts/minimum_cost_path.py::L1,scripts/minimum_cost_path.py,9.721,0.0,0.0,52north-wrt,1
WeatherRoutingTool/algorithms/genetic/population.py::L1,WeatherRoutingTool/algorithms/genetic/population.py,4.861,0.0,0.0,52north-wrt,1
WeatherRoutingTool/config.py::L1,WeatherRoutingTool/config.py,0.0,0.0,0.0,52north-wrt,1
WeatherRoutingTool/algorithms/genetic/utils.py::L1,WeatherRoutingTool/algorithms/genetic/utils.py,0.0,0.0,0.0,52north-wrt,1
WeatherRoutingTool/routeparams.py::L1,WeatherRoutingTool/routeparams.py,0.0,0.5,0.5,52north-wrt,2
WeatherRoutingTool/ship/shipparams.py::L1,WeatherRoutingTool/ship/shipparams.py,0.0,0.5,0.5,52north-wrt,2
WeatherRoutingTool/algorithms/genetic/mutation.py::L1,WeatherRoutingTool/algorithms/genetic/mutation.py,23.725,0.0,0.0,52north-wrt,2
WeatherRoutingTool/algorithms/genetic/population.py::L1,WeatherRoutingTool/algorithms/genetic/population.py,18.453,0.0,0.0,52north-wrt,2
WeatherRoutingTool/algorithms/genetic/crossover.py::L1,WeatherRoutingTool/algorithms/genetic/crossover.py,15.817,0.0,0.0,52north-wrt,2
WeatherRoutingTool/algorithms/isobased.py::L721,WeatherRoutingTool/algorithms/isobased.py,13.181,0.0,0.0,52north-wrt,2
WeatherRoutingTool/constraints/constraints.py::L1,WeatherRoutingTool/constraints/constraints.py,13.181,0.0,0.0,52north-wrt,2
WeatherRoutingTool/algorithms/isobased.py::L601,WeatherRoutingTool/algorithms/isobased.py,13.181,0.0,0.0,52north-wrt,2
WeatherRoutingTool/execute_routing.py::L1,WeatherRoutingTool/execute_routing.py,10.544,0.0,0.0,52north-wrt,2
WeatherRoutingTool/algorithms/isobased.py::L121,WeatherRoutingTool/algorithms/isobased.py,7.908,0.0,0.0,52north-wrt,2
WeatherRoutingTool/algorithms/isobased.py::L241,WeatherRoutingTool/algorithms/isobased.py,7.908,0.0,0.0,52north-wrt,2
WeatherRoutingTool/algorithms/genetic/utils.py::L1,WeatherRoutingTool/algorithms/genetic/utils.py,7.908,0.0,0.0,52north-wrt,2
WeatherRoutingTool/routeparams.py::L1,WeatherRoutingTool/routeparams.py,0.0,0.5,0.5,52north-wrt,3
WeatherRoutingTool/ship/shipparams.py::L1,WeatherRoutingTool/ship/shipparams.py,0.0,0.5,0.5,52north-wrt,3
scripts/compare_routes.py::L1,scripts/compare_routes.py,34.642,0.0,0.0,52north-wrt,3
scripts/fuel_consumption_for_specific_route_gzip.py::L121,scripts/fuel_consumption_for_specific_route_gzip.py,34.642,0.0,0.0,52north-wrt,3
cli.py::L1,cli.py,19.246,0.0,0.0,52north-wrt,3
scripts/compare_algorithm_performance.py::L1,scripts/compare_algorithm_performance.py,19.246,0.0,0.0,52north-wrt,3
scripts/fuel_consumption_for_specific_route.py::L1,scripts/fuel_consumption_for_specific_route.py,15.397,0.0,0.0,52north-wrt,3
WeatherRoutingTool/config.py::L241,WeatherRoutingTool/config.py,7.698,0.0,0.0,52north-wrt,3
scripts/dpm_compared_to_maripower.py::L1,scripts/dpm_compared_to_maripower.py,3.849,0.0,0.0,52north-wrt,3
scripts/maripower_for_different_courses.py::L121,scripts/maripower_for_different_courses.py,3.849,0.0,0.0,52north-wrt,3
WeatherRoutingTool/algorithms/isobased.py::L721,WeatherRoutingTool/algorithms/isobased.py,3.849,0.0,0.0,52north-wrt,3
WeatherRoutingTool/algorithms/genetic/population.py::L121,WeatherRoutingTool/algorithms/genetic/population.py,3.849,0.0,0.0,52north-wrt,3
include/ocpn_plugin.h::L1561,include/ocpn_plugin.h,63.313,0.0,0.0,opencpn-core,1
gui/src/pluginmanager.cpp::L361,gui/src/pluginmanager.cpp,57.907,0.0,0.0,opencpn-core,1
include/ocpn_plugin.h::L6241,include/ocpn_plugin.h,54.935,0.0,0.0,opencpn-core,1
gui/include/gui/concanv.h::L1,gui/include/gui/concanv.h,54.106,0.0,0.0,opencpn-core,1
model/src/comm_decoder.cpp::L481,model/src/comm_decoder.cpp,49.728,0.0,0.0,opencpn-core,1
include/ocpn_plugin.h::L6361,include/ocpn_plugin.h,46.94,0.0,0.0,opencpn-core,1
plugins/dashboard_pi/src/dashboard_pi.cpp::L2641,plugins/dashboard_pi/src/dashboard_pi.cpp,39.331,0.0,0.0,opencpn-core,1
model/include/model/routeman.h::L121,model/include/model/routeman.h,38.151,0.0,0.0,opencpn-core,1
include/ocpn_plugin.h::L121,include/ocpn_plugin.h,31.727,0.0,0.0,opencpn-core,1
plugins/dashboard_pi/src/dashboard_pi.cpp::L2521,plugins/dashboard_pi/src/dashboard_pi.cpp,31.585,0.0,0.0,opencpn-core,1
libs/wxJSON/src/jsonreader.cpp::L241,libs/wxJSON/src/jsonreader.cpp,10.883,0.0,0.0,opencpn-core,1
plugins/wmm_pi/src/jsonreader.cpp::L241,plugins/wmm_pi/src/jsonreader.cpp,10.883,0.0,0.0,opencpn-core,1
plugins/demo_pi_sample/src/nmea0183/nmea0183.hpp::L1,plugins/demo_pi_sample/src/nmea0183/nmea0183.hpp,0.0,0.0074,0.4966,opencpn-core,2
libs/nmea0183/src/nmea0183.hpp::L1,libs/nmea0183/src/nmea0183.hpp,0.0,0.0074,0.4966,opencpn-core,2
model/include/model/route_point.h::L241,model/include/model/route_point.h,168.212,0.0,0.0,opencpn-core,2
model/include/model/route_point.h::L361,model/include/model/route_point.h,144.182,0.0,0.0,opencpn-core,2
include/ocpn_plugin.h::L5641,include/ocpn_plugin.h,110.539,0.0,0.0,opencpn-core,2
model/include/model/routeman.h::L121,model/include/model/routeman.h,110.539,0.0,0.0,opencpn-core,2
model/include/model/route_point.h::L481,model/include/model/route_point.h,110.539,0.0,0.0,opencpn-core,2
include/ocpn_plugin.h::L5881,include/ocpn_plugin.h,91.315,0.0,0.0,opencpn-core,2
libs/glu/libutil/mipmap.c::L1681,libs/glu/libutil/mipmap.c,79.753,0.0,0.0,opencpn-core,2
libs/glu/libutil/mipmap.c::L1441,libs/glu/libutil/mipmap.c,74.436,0.0,0.0,opencpn-core,2
include/ocpn_plugin.h::L3481,include/ocpn_plugin.h,72.091,0.0,0.0,opencpn-core,2
include/ocpn_plugin.h::L5521,include/ocpn_plugin.h,72.091,0.0,0.0,opencpn-core,2
libs/gdal/src/ogrfeature.cpp::L361,libs/gdal/src/ogrfeature.cpp,104.643,0.0,0.0,opencpn-core,3
libs/gdal/src/ogrgeometry.cpp::L841,libs/gdal/src/ogrgeometry.cpp,89.694,0.0,0.0,opencpn-core,3
libs/gdal/src/ogrfeaturedefn.cpp::L361,libs/gdal/src/ogrfeaturedefn.cpp,84.711,0.0,0.0,opencpn-core,3
libs/gdal/src/ogrgeometrycollection.cpp::L241,libs/gdal/src/ogrgeometrycollection.cpp,84.711,0.0,0.0,opencpn-core,3
libs/gdal/src/ogrgeometry.cpp::L361,libs/gdal/src/ogrgeometry.cpp,79.728,0.0,0.0,opencpn-core,3
libs/gdal/src/ogrfeature.cpp::L241,libs/gdal/src/ogrfeature.cpp,59.796,0.0,0.0,opencpn-core,3
libs/gdal/src/ogrgeometry.cpp::L961,libs/gdal/src/ogrgeometry.cpp,59.796,0.0,0.0,opencpn-core,3
libs/gdal/src/ogrgeometryfactory.cpp::L361,libs/gdal/src/ogrgeometryfactory.cpp,59.796,0.0,0.0,opencpn-core,3
libs/gdal/src/ogrgeometryfactory.cpp::L481,libs/gdal/src/ogrgeometryfactory.cpp,59.796,0.0,0.0,opencpn-core,3
model/src/plugin_loader.cpp::L1321,model/src/plugin_loader.cpp,58.031,0.0,0.0,opencpn-core,3
libs/gdal/include/gdal/ogr_geometry.h::L1,libs/gdal/include/gdal/ogr_geometry.h,14.949,0.0,0.0,opencpn-core,3
libs/gdal/include/gdal/ogr_api.h::L1,libs/gdal/include/gdal/ogr_api.h,9.966,0.0,0.0,opencpn-core,3
slocum/query/grads.py::L121,slocum/query/grads.py,12.592,0.0833,0.1428,slocum,1
slocum/query/variables.py::L1,slocum/query/variables.py,6.317,0.0833,0.1428,slocum,1
slocum/visualize/utils.py::L1,slocum/visualize/utils.py,6.296,0.0833,0.1428,slocum,1
slocum/query/utils.py::L1,slocum/query/utils.py,4.197,0.0833,0.1428,slocum,1
slocum/lib/units.py::L1,slocum/lib/units.py,0.0,0.0833,0.1428,slocum,1
test/utils.py::L1,test/utils.py,0.0,0.0833,0.1428,slocum,1
slocum/compression/schemes.py::L1,slocum/compression/schemes.py,0.0,0.0833,0.1428,slocum,1
slocum/lib/griblib.py::L241,slocum/lib/griblib.py,104.345,0.0,0.0,slocum,1
slocum/lib/griblib.py::L121,slocum/lib/griblib.py,83.862,0.0,0.0,slocum,1
slocum/query/saildocs.py::L121,slocum/query/saildocs.py,29.418,0.0,0.0,slocum,1
slocum/query/saildocs.py::L1,slocum/query/saildocs.py,23.085,0.0,0.0,slocum,1
slocum/lib/griblib.py::L361,slocum/lib/griblib.py,21.154,0.0,0.0,slocum,1
slocum/compression/tinylib.py::L1,slocum/compression/tinylib.py,31.758,0.0834,0.2001,slocum,3
test/utils.py::L1,test/utils.py,0.0,0.0834,0.2001,slocum,3
slocum/query/utils.py::L1,slocum/query/utils.py,0.0,0.0834,0.2001,slocum,3
slocum/visualize/utils.py::L1,slocum/visualize/utils.py,0.0,0.0834,0.2001,slocum,3
slocum/lib/units.py::L1,slocum/lib/units.py,0.0,0.0834,0.2001,slocum,3
slocum/query/saildocs.py::L241,slocum/query/saildocs.py,38.783,0.0,0.0,slocum,3
slocum/run.py::L121,slocum/run.py,30.66,0.0,0.0,slocum,3
doc/source/conf.py::L121,doc/source/conf.py,27.731,0.0,0.0,slocum,3
slocum/lib/griblib.py::L241,slocum/lib/griblib.py,12.657,0.0,0.0,slocum,3
slocum/run.py::L1,slocum/run.py,12.57,0.0,0.0,slocum,3
slocum/compression/compress.py::L121,slocum/compression/compress.py,12.06,0.0,0.0,slocum,3
doc/source/conf.py::L1,doc/source/conf.py,10.76,0.0,0.0,slocum,3
frontend/lib/api.ts::L1,frontend/lib/api.ts,0.0,0.5,0.5,windmar,1
frontend/lib/demoMode.ts::L1,frontend/lib/demoMode.ts,0.0,0.5,0.5,windmar,1
api/routers/voyage_history.py::L241,api/routers/voyage_history.py,126.497,0.0,0.0,windmar,1
api/reports/pdf_generator.py::L121,api/reports/pdf_generator.py,100.021,0.0,0.0,windmar,1
api/routers/voyage_history.py::L121,api/routers/voyage_history.py,100.021,0.0,0.0,windmar,1
tests/unit/test_voyage_history.py::L241,tests/unit/test_voyage_history.py,88.253,0.0,0.0,windmar,1
api/reports/templates.py::L1,api/reports/templates.py,79.428,0.0,0.0,windmar,1
tests/unit/test_voyage_history.py::L121,tests/unit/test_voyage_history.py,67.661,0.0,0.0,windmar,1
frontend/app/voyages/page.tsx::L481,frontend/app/voyages/page.tsx,52.952,0.0,0.0,windmar,1
api/reports/pdf_generator.py::L1,api/reports/pdf_generator.py,44.127,0.0,0.0,windmar,1
